100
63	65	91	5	64	60	25	15	68	50	26	9	33	88	19	26	62	62	78	30	23	69	36	35	58	5	76	19	27	2	28	32	95	71	79	84	71	93	90	49	52	62	70	77	50	82	43	24	90	35	21	33	51	97	95	3	92	29	82	4	74	29	14	51	80	7	77	87	68	100	82	93	76	10	90	38	47	97	53	17	17	88	80	70	6	69	67	76	79	98	25	11	66	31	71	28	3	76	90	42
98	33	1	12	58	70	72	34	58	97	82	96	79	77	93	1	100	64	6	81	92	99	5	61	5	14	39	25	70	2	80	26	5	50	26	50	2	1	85	14	39	88	67	97	53	54	58	91	44	34	54	64	72	12	60	47	37	67	49	25	87	92	37	22	7	24	94	7	7	5	75	41	95	66	24	3	38	23	65	1	88	50	50	95	28	12	87	54	2	65	88	4	68	50	2	43	85	13	53	69
1	87	24	90	4	11	4	96	98	57	77	19	46	80	4	44	80	66	70	44	89	68	31	36	100	86	23	99	65	89	87	11	90	87	50	23	87	34	97	32	38	28	17	44	65	92	59	70	4	19	30	57	58	12	1	81	99	50	20	22	85	15	86	67	85	9	39	24	61	54	3	41	84	8	68	23	24	81	54	25	17	39	2	86	11	73	54	80	47	34	29	80	92	51	75	83	11	89	25	59
71	96	13	3	54	2	75	70	92	92	61	93	83	97	57	93	45	35	32	73	45	53	93	70	28	37	99	52	96	57	26	59	96	66	30	77	76	28	15	68	40	54	79	85	78	7	49	61	55	3	70	26	87	22	61	38	12	95	59	95	37	40	76	6	42	34	85	85	79	45	86	99	87	83	72	71	69	53	26	69	45	63	30	61	13	41	95	38	59	82	53	80	87	3	80	28	10	15	81	55
80	1	83	94	11	90	89	72	61	50	44	68	17	79	89	83	47	48	57	86	8	57	9	19	89	84	81	94	40	11	99	67	74	7	100	90	55	79	50	34	65	60	46	54	56	51	5	14	7	68	22	60	68	49	73	41	68	70	67	30	31	7	38	45	98	86	26	25	57	100	65	89	27	92	68	34	20	17	74	87	4	25	36	82	94	70	23	31	27	83	40	32	16	49	56	12	95	20	93	29
11	37	35	75	9	27	25	60	51	98	6	16	60	74	65	34	23	5	69	11	43	35	20	92	37	82	64	71	29	56	92	80	31	8	61	75	42	80	42	39	38	31	97	1	86	6	59	40	93	49	12	53	95	43	5	32	93	7	79	31	87	1	51	17	69	59	39	83	28	12	95	31	11	30	91	62	63	81	36	81	26	74	3	43	80	18	58	44	44	1	10	60	29	5	65	22	90	36	47	48
45	91	68	17	55	27	86	86	88	35	43	58	54	35	79	64	91	96	69	41	4	28	33	83	26	41	35	19	89	73	45	87	71	84	35	28	59	79	40	63	88	78	30	41	90	96	53	16	95	33	67	35	95	85	91	52	40	21	71	64	10	38	61	5	62	89	14	30	74	8	39	57	16	26	23	16	70	63	86	6	17	79	99	10	59	40	89	25	57	1	2	36	89	85	70	18	44	97	14	82
14	19	72	93	58	91	77	7	82	49	65	1	24	85	29	88	28	97	12	26	6	85	64	40	67	45	93	45	65	27	51	52	63	66	8	46	21	10	71	59	8	5	27	75	9	81	52	39	45	32	17	59	32	54	55	16	79	85	3	74	14	38	97	74	66	78	53	78	81	12	71	71	40	56	58	4	42	47	21	49	81	25	13	50	93	71	48	88	50	26	44	22	97	43	30	13	46	40	16	54
22	10	55	66	63	88	88	56	100	71	67	59	87	97	8	99	21	83	36	89	31	24	81	69	27	55	90	29	37	58	84	46	90	88	1	43	46	40	22	76	95	2	91	88	28	58	52	79	46	48	55	98	78	4	38	38	10	86	42	13	22	94	24	75	49	90	32	72	90	55	49	5	31	55	54	73	29	87	23	47	31	11	26	52	89	42	19	9	15	9	32	42	97	35	94	20	57	4	87	38
65	36	29	96	28	83	72	81	7	81	54	61	45	89	86	15	43	49	39	84	86	77	51	46	39	42	71	51	57	16	40	91	72	100	6	42	99	93	38	75	25	73	49	35	39	93	78	83	58	87	54	34	59	38	9	48	31	64	79	94	81	60	85	34	87	94	59	22	92	64	84	4	23	76	35	34	31	39	58	95	92	28	82	19	68	71	24	63	25	92	26	37	47	60	12	18	53	100	97	84
